Sample,C,H,O,N,S,P,Calculated.m.z,AI,AI_Mod,DBE_1,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,delGcox0,delGd0,delGcat0,delGan0,delGdis0,lambda0,delGcox,delGd,delGcat,delGan,delGdis,lambda,Dataset,global_dataset,sampleName,coreMSname,type,date_utc_YYYYMMDD,Latitude,Longitude,depth_m,N_mgL,N_species,N_value2,N_species2,N_units2,N_value3,N_species3,N_units3,N_value4,N_species4,N_units4,P_pool,P_species,P_units,C_mgL,C_species,GHG,GHG_species,GHG_units,DO_mgL,BDOC_%_mean,BDOC_sd,chla_ugL,bacterial_activity,bact_act_units,Respiration_mgDO_hr_L_sediment,Extraction_Efficiency(%;assumed_or_measured),Instrument(t),TARGET_carbon_normalization(ugCL-1)
STL_0015_ICR.2_p1.corems,17.5557650055656,22.5154108678955,9.39778471025848,0.162932239893628,0.0355923785551824,0,386.089776545431,0.0146917880753157,0.200766951966501,7.37952569156461,-2.01825901869384,-2.21678363714265,64.9964576721166,385.658646795221,0.310506975873465,-0.164787988495321,0.543315049944557,1.28680355989216,0.0104646006109166,0,64.9964576721166,1148.66863899734,-7857.25021712513,-5.83551191969661,478.459037403129,0.0642081236731549,-141.018312842036,-2479.59361948646,-8553.58278526578,-15.2321404617805,465.395026130445,0.0560569374527119,STL,STL,STL_0015_ICR-2,STL_0015_ICR.2_p1.corems,river,20210723,44.8463,-75.2996,,,,,,,,,,,,,,,,3.56,NPOC,,,,,,,,,,,,,
STL_0015_ICR.3_p08.corems,17.3653018554875,22.5331133820385,8.94421844275083,0.133838908900403,0.0651191316920769,0,377.103941444187,0.0184184626305849,0.205274056075501,7.16566461891852,-1.77855382383231,-1.97751186442479,66.3627437271487,376.682845288435,0.298942382219351,-0.212727850075387,0.525246132377009,1.29683944775774,0.00861524216216927,0,66.3627437271487,1164.34596481977,-7865.0390079183,-10.331474139074,477.402313921611,0.064190893809632,-141.716848939395,-2466.28818831884,-8556.10393885463,-19.8876289468551,465.339020460091,0.056088963469439,STL,STL,STL_0015_ICR-3,STL_0015_ICR.3_p08.corems,river,20210723,44.8463,-75.2996,,,,,,,,,,,,,,,,2.71,NPOC,,,,,,,,,,,,,
STL_0016_ICR.1_p08.corems,17.4504885283147,23.2109375908983,8.29169085625379,0.136558503888742,0.15415292598018,0,371.256864188117,0.019681799965248,0.19866466308492,6.91329898480994,-1.37839187144385,-1.66910330131277,69.3738645104471,370.842302615297,0.286263701246539,-0.318381210892879,0.484787689615944,1.3314262492168,0.00842421100299614,0,69.3738645104472,1220.68733192816,-8071.01001894599,-17.8651329833554,476.533927409047,0.0613271132425562,-143.142846250946,-2502.19627297687,-8768.92706886254,-27.4057297016966,465.414870500126,0.0536949497564387,STL,STL,STL_0016_ICR-1,STL_0016_ICR.1_p08.corems,river,20210723,44.736,-75.4524,,,,,,,,,,,,,,,,4.1,NPOC,,,,,,,,,,,,,
STL_0016_ICR.2_p1.corems,17.6113784303204,24.3660559581491,8.67548181110162,0.162505715324389,0.103289873903984,0,379.227547373266,0.0123726249389158,0.163236703331465,6.50960330890805,-2.16587850219357,-2.43167409142195,69.7090478932792,378.80408276797,0.286579311119112,-0.330142031343124,0.504594297417957,1.3823949150311,0.0104622148125444,0,69.7090478932792,1242.11448945002,-8179.05534763396,-17.2565724015565,475.729261334929,0.060846851405144,-143.065889584168,-2526.27894721587,-8880.33170225625,-26.3997092966506,465.332963647404,0.0534377875679651,STL,STL,STL_0016_ICR-2,STL_0016_ICR.2_p1.corems,river,20210723,44.736,-75.4524,,,,,,,,,,,,,,,,5.29,NPOC,,,,,,,,,,,,,
STL_0016_ICR.3_p1.corems,17.3828457513995,23.0182719586338,8.82632551373166,0.173569960605116,0.0747670822905293,0,376.782557639833,0.0157498556471662,0.192167808753718,6.96049475238527,-1.86583076134639,-2.11416780424203,67.4940849863709,376.361822664266,0.294332612638233,-0.252424034609503,0.516890031596585,1.32774411475941,0.0110173292083512,0,67.4940849863709,1182.00384002546,-7927.47526752048,-11.4662145789055,477.451093574138,0.0632264692131023,-142.089822179396,-2474.20443889637,-8618.03920901666,-20.6664758063756,465.386403614348,0.0553449536246688,STL,STL,STL_0016_ICR-3,STL_0016_ICR.3_p1.corems,river,20210723,44.736,-75.4524,,,,,,,,,,,,,,,,4.51,NPOC,,,,,,,,,,,,,
STL_0017_ICR.1_p08.corems,17.4655397099256,22.743246891651,8.97230713080351,0.145345881742992,0.0426672801033746,0,378.411150471012,0.0171159903438776,0.201748465650731,7.16658920497157,-1.80571792583193,-1.9937310876783,66.7997098366782,377.988594519271,0.298238292053093,-0.22805999426941,0.522571124214354,1.30454354683772,0.00874910415937561,0,66.7997098366782,1175.07396660985,-7923.68626260265,-9.51644839534918,477.869901011628,0.0634053402097882,-141.833582161432,-2480.79381004251,-8617.39929552158,-18.7826370225911,465.420590259207,0.0554344101845615,STL,STL,STL_0017_ICR-1,STL_0017_ICR.1_p08.corems,river,20210723,44.8203,-75.314,,,,,,,,,,,,,,,,2.81,NPOC,,,,,,,,,,,,,
STL_0017_ICR.2_p08.corems,17.5903881222986,23.6131532086875,8.69164738511875,0.165656242563652,0.102399520687211,0,378.491087045106,0.0156525906209026,0.18498397485223,6.86663963923672,-1.82500774588205,-2.09306350913291,68.5534125510245,378.068445627593,0.291695268460133,-0.289593422842967,0.504736360775695,1.3423520409737,0.0103608189802319,0,68.5534125510245,1218.25098785207,-8095.30546878455,-15.3601321943879,476.732004895075,0.0618424451170789,-142.616007097349,-2514.10818962839,-8795.58173122339,-24.7115688175186,465.447304423669,0.0541680051130537,STL,STL,STL_0017_ICR-2,STL_0017_ICR.2_p08.corems,river,20210723,44.8203,-75.314,,,,,,,,,,,,,,,,3.28,NPOC,,,,,,,,,,,,,
STL_0017_ICR.3_p08.corems,17.5469580628929,22.1242870878767,9.41452570146954,0.135749520132349,0.0276177591086879,0,385.222072885228,0.0144568521414049,0.215242515666944,7.55268927902066,-1.86183642244889,-2.02520370168992,64.3743909200726,384.791910895192,0.312545744241799,-0.142961084914832,0.544878157374231,1.26251335251095,0.00880112127313636,0,64.3743909200726,1138.81499197265,-7822.63616198747,-5.36212248571102,478.695952966492,0.0650942649299669,-140.822805513224,-2475.38611155637,-8519.38429635129,-14.9706984333917,465.353634504685,0.0567425122203896,STL,STL,STL_0017_ICR-3,STL_0017_ICR.3_p08.corems,river,20210723,44.8203,-75.314,,,,,,,,,,,,,,,,2.79,NPOC,,,,,,,,,,,,,
STL_0018_ICR.1_p08.corems,17.6720127802081,23.2487626586434,9.20667175588248,0.153028957992797,0.0356918733827099,0,385.031509411719,0.0160282158870816,0.192033922649072,7.12414592988281,-2.08252582599969,-2.2712466573752,66.5509218458247,384.601561114602,0.302648360803054,-0.21933059108157,0.530580276769493,1.31299840472427,0.00949163083354378,0,66.5509218458246,1188.31340364138,-8015.20247803262,-9.39937711213656,477.133302948228,0.0629495675019699,-141.682722169641,-2509.32191988543,-8716.57924092628,-18.6849481927943,465.35447407383,0.0550947590661623,STL,STL,STL_0018_ICR-1,STL_0018_ICR.1_p08.corems,river,20210723,45.0261,-74.8901,,,,,,,,,,,,,,,,3.95,NPOC,,,,,,,,,,,,,
STL_0018_ICR.2_p08.corems,17.2204412606899,21.8599892868913,9.218606301826,0.160525404582816,0.0215282945595621,0,378.056036998884,0.0202993520565137,0.212179990540136,7.37070931953566,-1.84789698229035,-2.02995068143273,64.6376666998037,377.633877694688,0.305368639764214,-0.152198831572059,0.543376487685999,1.27217629947464,0.0102045793848072,0,64.6376666998037,1120.98970861019,-7688.1996139811,-6.1144177135084,478.179557500501,0.0658213992574183,-140.856921021232,-2429.36287243344,-8370.66895785781,-15.6428907803878,465.405090210352,0.0574642071008943,STL,STL,STL_0018_ICR-2,STL_0018_ICR.2_p08.corems,river,20210723,45.0261,-74.8901,,,,,,,,,,,,,,,,3.16,NPOC,,,,,,,,,,,,,
